	cattle	sun_bear	elephant	bear_cat	rhino	sambar_deer	human	proboscis_monkey	orang_utan
Catharsius_dayacus_	6	0	0	2	1	0	10	2	2
Catharsius_renaudpauliani	15	0	0	4	27	0	33	2	10
Copris_sinicus	1	0	2	0	0	0	5	1	2
Copris_agnus	0	0	0	0	0	0	1	0	0
Microcopris_doriae	6	0	1	11	2	3	22	2	12
Microcopris_hidaki	15	0	2	0	2	1	6	1	0
O._incicus	8	0	1	0	1	0	0	0	7
O._rorarius	0	0	0	0	3	2	2	0	3
O._mulleri	0	0	0	0	0	0	0	0	0
O._borneensis	0	0	1	0	0	0	0	0	0
O._cervicapra	32	0	27	5	11	11	25	9	9
O._obscurior	10	0	5	11	11	5	27	1	8
O._paviobscurior	0	0	1	0	0	0	0	0	0
O._rugicollis	3	0	2	0	1	4	2	9	0
O._vulpes	9	0	1	0	3	1	10	5	2
O._ochromerus	0	0	0	0	0	0	0	0	0
O._rudis	0	0	0	2	0	0	15	0	0
O._taeniatus	1	0	0	0	0	0	0	0	0
O._waterstradti	0	0	0	0	0	0	0	0	0
O._semiaureus	1	0	0	1	0	0	7	0	1
O._pacificus	1	0	0	0	1	0	0	0	0
O._angustatus	0	0	0	0	0	1	0	0	0
O._dux	0	0	0	1	0	0	0	0	0
O._fujii	0	0	29	2	0	0	3	0	0
O._laevis	0	0	0	0	0	0	0	0	0
O._deliensis	0	0	0	0	0	0	0	0	0
O._aphodiodes	0	0	0	0	0	0	0	0	0
O._aurifex	0	0	0	1	0	0	0	0	0
O._semicupreus	0	0	0	1	0	0	0	0	0
Paragymnopleurus_maurus	2	0	1	0	4	1	40	8	3
Paragymnopleurus_striatus	8	0	5	0	0	2	27	5	3
Paragymnopleurus_sparsus	45	0	14	0	23	18	105	26	63
Proagoderus_watanebei	61	0	43	2	55	3	92	17	41
Sisyphus_thoracicus	55	0	8	4	5	3	428	100	42
Oniticellus_tesselatus	24	0	27	1	5	10	0	0	1
Liatongus_femoratus	2	0	4	0	3	2	0	0	0
Synapsis_ritsemae	0	0	0	0	1	0	4	2	0
Ochicanthon_masumutoi	0	0	0	1	1	0	0	0	0
Ochicanthon_dytiscoides	0	0	0	0	0	0	0	2	0
