	cattle	horse
Aphodius_alpinus	170	80
Trypocopris_pyrenaeus	160	80
Onthophagus_fracticornis	94	78
Anoplotrupes_stercorosus	61	54
Onthophagus_similis	42	65
Aphodius_rufipes	70	35
Geotrupes_stercorarius	39	19
Onthophagus_joannae	17	35
Aphodius_scrutator	45	2
Aphodius_erraticus	23	0
Aphodius_fimetarius	12	3
Onthophagus_grossepunctatus	6	6
Aphodius_estivalis	3	7
Aphodius_haemorrhoidalis	5	0
Aphodius_depressus	2	2
Onthophagus_lemur	0	1
