	cattle	deer	fox	horse	sheep	wildboar
Anoplotrupes_stercorosus	0	0	0	0	3	0
Trypocopris_vernalis	1	0	13	2	6	0
Typhaeus_typhoeus	0	0	0	0	0	0
Geotrupes_spiniger	0	0	0	0	1	2
Geotrupes_stercorarius	1	0	0	0	0	0
Onthophagus_coenobita	0	0	0	0	0	0
Onthophagus_fracticornis	62	3	0	0	8	1
Onthophagus_furcatus	0	0	0	0	0	0
Onthophagus_gibbulus	0	0	0	0	0	0
Onthophagus_joannae	15	1	0	2	4	1
Onthophagus_nuchicornis	0	0	0	0	0	0
Onthophagus_ovatus	0	0	0	0	0	0
Onthophagus_similis	13	2	0	0	4	0
Onthophagus_vitulus	0	0	0	0	0	0
Onthophagus_verticicornis	0	0	0	0	0	0
Aphodius_ater	0	0	0	0	0	0
Aphodius_coenosus	0	0	0	0	0	0
Aphodius_corvinus	0	0	0	0	0	0
Aphodius_depressus	1	0	0	0	4	0
Aphodius_distinctus	0	0	0	0	0	0
Aphodius_erraticus	8	0	0	0	1	0
Aphodius_fasciatus	0	0	0	0	0	0
Aphodius_fimetarius	0	0	0	0	0	0
Aphodius_fossor	0	0	0	0	0	0
Aphodius_granarius	0	0	0	0	0	0
Aphodius_luridus	0	0	0	0	0	0
Aphodius_maculatus	0	0	0	0	0	0
Aphodius_prodromus	0	0	0	0	0	0
Aphodius_pusillus	0	0	0	0	0	0
Aphodius_rufipes	3	1	0	0	8	0
Aphodius_rufus	0	0	0	0	0	0
Aphodius_sphacelatus	0	0	0	0	0	0
Aphodius_sticticus	0	0	0	0	0	0
Aphodius_zenkeri	0	0	0	0	0	0
