	cattle	horse	sheep
Geotrupes_spiniger	3	21	25
Typhaeus_typhoeus	149	45	79
Onthophagus_coenobita	0	0	0
Onthophagus_similis	4	15	9
Acrossus_rufipes	1	2	11
Agrilinus_ater	0	0	0
Aphodius_fimetarius	3	0	0
Aphodius_foetens	2	3	1
Bodilopsis_rufa	0	0	7
Chilothorax_distinctus	0	4	2
Melinopterus_consputus	0	0	0
Melinopterus_prodromus	132	1152	363
Melinopterus_sphacelatus	4	15	3
Nimbus_contaminatus	116	4161	386
Otophorus_haemorrhoidalis	0	0	0
Teuchestes_fossor	0	0	0
Volinus_sticticus	1	6	2
