	cattle	sheep
Canthidium_breve	322	369
Onthophagus_hirculus	488	115
Sulcophanaeus_menelas	147	18
Ataenius_platensis	103	29
Aphodius_lividus	41	14
Ateuchus_pamperatum	50	1
Gromphas_lacordairiei	41	3
Canthon_bispinus	32	7
Canthon_muticus	29	2
Ataenius_picinus	17	8
Dichotomius_semiaeneus	6	0
Bolbites_onitoides	3	1
