	human	cattle	horse
S_bipustulatum	0	0	5
S_lunatum	0	0	2
S_scarabaeoides	0	0	1
O_thoracicum	17	0	0
H_unicolor	1	0	0
G_stercorarius	16	11	25
G_stercorosus	8	2	3
A_borealis	0	1	0
A_conspurcatus	5	1	53
A_depressus	0	2	0
A_fasciatus	4	6	1
A_fimetarius	50	68	48
A_foetens	0	0	1
A_merdarius	0	0	25
A_prodromus	4284	132	106
A_pusillus	0	1	0
A_rufipes	391	343	298
A_rufus	21	133	44
A_sordidus	0	0	15
