	cattle	monkey	pig
Dichotomius_belus	0	2	0
Deltochilum_sp.	0	2	0
Uroxys_sp.	23	168	96
U._deavilai	26	134	86
U._micros	0	33	6
Canthon_aff._morsei	6	106	52
C._cyanellus	6	14	23
C._juvencus	0	3	0
C._subhyalinus	0	1	0
C._septemmaculatus	0	1	1
Scybalocanthon_sp	0	2	0
Eurysternus_plebejus	0	0	1
E._mexicanus	0	0	1
Onthophagus_sp	1	6	1
O._acuminatus	1	12	2
O._clipeatus	0	2	2
O._marginicollis	13	6	14
Phanaeus_hermes	0	1	0
Canthidium_sp	0	6	2
C._centrale	0	1	0
C._haroldi	0	0	2
