	coati	howler
A_laticollis	297	0
C_cyanellus	260	174
C_femoralis	104	160
C_laeviceps	61	87
C_martinezi	43	68
C_subhyalinus	23	40
C_viridis	0	36
C_telamon	19	0
Canthon_sp	17	33
Canthon_sp2	17	29
D_carolinus	14	21
D_gibbosum	9	0
D_pseudoparile	7	10
D_satanas	5	7
E_mexicanus	4	5
G_viridis	2	0
O_batesi	2	5
O_nasicornis	1	1
O_rhinolophus	1	1
P_endymion	1	1
S_chryseicollis	0	1
U_boneti	0	1
