	cattle	sun_bear	elephant	bear_cat	rhino	sambar_deer	human	proboscis_monkey	orang_utan
Catharsius_dayacus_	5	2	1	0	32	8	14	9	28
Catharsius_renaudpauliani	16	7	0	1	42	11	20	4	8
Copris_sinicus	1	0	0	0	0	0	0	0	2
Copris_agnus	0	0	0	0	0	0	0	0	0
Copris_ramosiceps	0	0	0	0	0	2	2	0	0
Microcopris_doriae	29	6	0	0	61	22	5	3	6
Microcopris_hidaki	23	0	0	0	41	21	7	8	3
O._incicus	2	1	1	0	6	1	4	1	9
O._rorarius	0	3	0	0	1	1	0	0	4
O._mulleri	1	5	0	5	3	1	6	0	1
O._borneensis	0	2	0	1	3	2	6	1	0
O._cervicapra	39	0	0	12	100	0	102	0	49
O._obscurior	12	6	1	3	42	5	65	6	6
O._rugicollis	1	1	5	0	5	1	11	4	2
O._vulpes	6	8	5	0	11	4	20	13	15
O._ochromerus	0	0	0	0	0	0	0	0	0
O._rudis	0	1	1	0	1	2	5	0	4
O._taeniatus	1	0	1	0	0	0	0	0	0
O._waterstradti	0	0	0	0	0	0	0	0	0
O._semiaureus	3	4	6	4	7	0	4	3	0
O._semicupreus	0	1	0	0	0	0	1	0	0
O._pacificus	0	0	2	0	1	0	0	0	0
O._pavidus	1	0	0	0	0	0	0	0	1
O._angustatus	0	0	0	0	1	0	0	2	0
O._dux	0	0	0	0	6	0	10	0	5
O._fujii	0	9	0	0	0	18	5	10	0
O._laevis	0	0	0	0	0	0	0	0	0
O._deliensis	0	0	0	0	0	0	0	0	0
O._aphodiodes	0	0	0	0	0	0	0	0	0
O._aurifex	0	0	0	0	0	0	1	0	0
Paragymnopleurus_maurus	2	0	0	1	1	4	56	9	9
Paragymnopleurus_striatus	1	2	1	0	30	24	20	9	22
Paragymnopleurus_sparsus	13	9	46	9	107	81	280	63	123
Proagoderus_watanebei	49	63	39	19	96	45	65	53	87
Sisyphus_thoracicus	14	21	8	13	56	123	194	39	79
Oniticellus_tesselatus	5	0	5	0	6	18	0	2	4
Liatongus_femoratus	1	0	0	0	8	0	0	0	0
Synapsis_ritsemae	0	0	0	0	1	1	2	1	10
Ochicanthon_masumutoi	0	0	1	0	0	0	0	0	0
Ochicanthon_dytiscoides	0	0	0	0	0	0	1	0	0
O._paviobscurior	0	0	0	0	1	0	0	0	1
