	cattle	sun_bear	elephant	bear_cat	rhino	sambar_deer	human	proboscis_monkey	orang_utan
Catharsius_dayacus_	4	0	7	0	8	1	30	10	12
Catharsius_renaudpauliani	0	0	0	0	1	0	2	0	0
Copris_sinicus	1	0	24	0	7	2	28	5	10
Copris_agnus	0	0	0	0	0	0	0	0	0
Microcopris_doriae	0	0	6	2	3	6	8	1	26
Microcopris_hidaki	3	0	20	0	2	2	2	0	18
O._incicus	4	0	3	0	1	0	1	2	0
O._rorarius	1	0	0	1	0	0	0	0	1
O._mulleri	0	0	0	0	0	0	0	0	0
O._borneensis	6	0	8	1	1	0	2	0	0
O._cervicapra	2	0	42	5	83	8	3	5	170
O._obscurior	2	0	7	5	52	6	22	15	140
O._paviobscurior	0	1	0	6	16	1	4	0	60
O._rugicollis	0	0	28	0	6	0	0	1	4
O._vulpes	2	0	0	0	0	0	3	0	1
O._ochromerus	0	0	0	0	0	0	1	0	0
O._rudis	0	0	0	4	0	0	1	0	16
O._taeniatus	0	0	0	0	0	0	0	0	0
O._waterstradti	0	0	0	0	0	0	3	0	1
O._semiaureus	0	7	0	36	0	1	14	12	28
O._semicupreus	0	0	0	0	0	0	0	0	2
O._pacificus	3	0	4	0	9	0	2	0	0
O._pavidus	0	0	0	0	0	1	1	0	3
O._angustatus	1	0	1	0	0	0	0	0	2
O._dux	0	0	0	1	0	0	0	2	0
O._fujii	0	1	0	0	3	1	1	0	0
O._laevis	0	0	0	0	0	0	0	0	0
O._deliensis	0	0	0	0	0	0	0	0	0
O._aphodiodes	0	0	0	0	0	0	0	0	0
O._aurifex	0	0	0	0	0	0	0	0	0
O._jokii	0	0	0	0	0	1	0	0	0
Paragymnopleurus_maurus	0	0	0	0	0	0	1	1	1
Paragymnopleurus_striatus	1	0	6	0	0	0	2	2	2
Paragymnopleurus_sparsus	4	0	19	0	13	5	78	56	39
Proagoderus_watanebei	7	0	9	5	66	4	42	15	28
Sisyphus_thoracicus	0	1	16	7	5	2	138	114	209
Oniticellus_tesselatus	0	0	1	0	7	0	0	0	3
Liatongus_femoratus	0	0	0	0	0	0	0	0	0
Synapsis_ritsemae	0	0	0	0	0	0	1	0	0
Ochicanthon_masumutoi	0	0	0	0	0	0	0	0	0
