	cattle	sun_bear	elephant	bear_cat	rhino	sambar_deer	human	proboscis_monkey	orang_utan	clouded_leopard
Catharsius_dayacus_	0	0	1	0	29	0	5	7	42	0
Catharsius_renaudpauliani	1	0	2	0	7	0	3	1	7	0
Copris_sinicus	3	0	0	0	1	0	0	0	4	1
Copris_agnus	1	0	1	0	3	0	0	1	4	2
Microcopris_doriae	2	0	0	0	1	0	3	2	10	0
Microcopris_hidaki	1	0	0	0	0	0	1	1	2	0
O._incicus	8	0	1	0	1	0	1	2	6	2
O._rorarius	2	0	1	0	2	0	0	0	1	0
O._mulleri	2	0	0	0	0	0	1	0	0	0
O._borneensis	0	0	0	0	0	0	1	0	3	1
O._cervicapra	25	0	0	0	14	0	13	26	16	5
O._obscurior	19	1	0	0	17	0	19	6	25	1
O._rugicollis	0	0	0	0	0	0	1	2	3	0
O._vulpes	0	1	1	0	1	0	6	6	0	0
O._ochromerus	0	0	0	0	0	0	0	1	2	0
O._rudis	0	0	2	0	0	0	1	0	5	1
O._taeniatus	1	0	0	0	0	0	0	0	1	0
O._waterstradti	1	1	0	1	1	0	14	0	2	6
O._semiaureus	0	0	0	0	0	0	0	0	0	1
O._pacificus	0	0	0	0	8	0	0	0	0	0
O._angustatus	0	0	0	0	0	0	0	0	0	0
O._dux	0	0	0	2	0	0	0	0	0	2
O._fujii	2	2	0	0	1	0	1	0	0	0
O._laevis	0	0	0	0	0	0	0	0	0	0
O._deliensis	0	0	0	0	0	0	0	0	0	0
O._aphodiodes	0	0	0	0	0	0	0	0	0	0
O._aurifex	0	0	0	0	0	0	0	0	0	0
O._johkii	1	1	1	0	0	0	0	0	0	1
Paragymnopleurus_maurus	0	0	0	0	10	0	5	8	2	11
Paragymnopleurus_striatus	0	0	0	0	1	0	1	1	0	1
Paragymnopleurus_sparsus	14	0	5	0	15	0	10	31	10	5
Proagoderus_watanebei	30	0	1	0	15	0	21	28	34	1
Sisyphus_thoracicus	40	0	3	1	13	0	2	6	2	1
Oniticellus_tesselatus	3	0	2	0	2	0	0	0	0	0
Liatongus_femoratus	0	0	0	0	0	0	0	0	0	0
Synapsis_ritsemae	0	0	0	0	0	0	0	0	0	0
Ochicanthon_masumutoi	0	0	0	0	0	0	0	0	0	1
