	cattle	buffalo	elephant
Caccobius_ferrugineus	460	43	1054
Catharsius_sesostris	31	2	188
Catharsius_tricornutus	93	21	9
Copris_elphenor	42	5	7
Copris_sp.a.4	174	33	6
Onitis_abyssinicus	3	1	130
Onitis_aerarius	99	14	351
Onitis_alexis	6	0	17
Onthophagus_fimetarius	1034	294	177
Onthophagus_inermicollis	9	2	27
Onthophagus_lacustris	14	0	31
Onthophagus_latestriatus	50	6	97
Onthophagus_extensicollis	0	0	5
Onthophagus_vinctus	259	9	499
Sisyphus_goryi	2	2	0
