	puma	fox	capuchin	tapir
Canthi_aff_trinodosum	7	29	7	6
Canthidium_dispar	1	2	2	2
Canthon_luctuosus	1	1	0	0
Cantho_rutilans_cyanescens	15	98	31	11
Coprophanaeus_cerberus	0	1	2	0
Co_saphirinus	3	13	6	3
Deltochilum_brasiliense	0	4	1	0
D_furcatum	0	8	9	1
D_morbillosum	4	8	2	0
Deltochilum_multicolor	0	2	0	0
Dichotomius_fissus	0	6	6	1
Dichotomius_mormon	0	1	1	0
Dichotomius_sericeus	12	57	21	11
Eurysternus_cyanescens	1	0	0	0
E_inflexus	0	15	9	0
Phanaeus_splendidulus	0	4	0	0
Uroxys_sp1	0	0	0	1
