	cattle	donkey	horse
onthophagus_ovatus/joannae	19	63	85
onthophagus_furcatus	25	71	82
onthophagus_nuchicornis	46	119	207
onthophagus_ruficapillus	50	96	146
onthophagus_taurus	7	11	10
onthophagus_illyricus	4	8	13
onthphagus_taurus&illyricus	11	19	23
euoniticellus_fulvus	4	8	13
geotrupes_spiniger	0	1	2
