	sheep	deer
Onthophagus_joannae	304	553
Melinopterus_prodromus	320	54
Phalacronothus_quadrimaculatus	151	36
Onthophagus_similis	11	89
Onthophagus_fracticornis	14	83
Onthophagus_lemur	83	1
Trypocopris_pyrenaeus	2	79
Euorodalus_coenosus	31	30
Onthophagus_verticicornis	16	26
Esymus_pusillus	28	11
Onthophagus_vacca	14	8
Acrossus_luridus	17	2
Agrilinus_ater	7	5
Aphodius_fimetarius	7	0
Trypocopris_vernalis	1	6
Calamosternus_granarius	6	0
Sigorus_porcus	3	0
Chilothorax_distinctus	0	2
Esymus_merdarius	0	2
Phalacronothus_biguttatus	1	1
Planolinus_uliginosus	1	1
Sisyphus_schaefferi	0	2
Geotrupes_mutator	2	0
Typhaeus_typhoeus	2	0
Acrossus_depressus	0	1
Onthophagus_grossepunctatus	0	1
