	cattle	goat
Aphodius_haemorrhoidalis	2731	859
Aphodius_erraticus	337	152
Caccobius_schreberi	159	62
Euoniticellus_fulvus	142	64
Sisyphus_schaefferi	81	69
Onthophagus_lemur	30	16
Euonthophagus_amyntas	15	7
Onthophagus_emarginatus	13	7
Onthophagus_vacca	14	5
Onthophagus_furcatus	6	3
Aphodius_fimetarius	4	1
Onthophagus_joannae	4	1
