	wildebeest	gazelle
Aphodius_sp.1	806	96
Catharsius_furcillatus	61	55
Heliocopris_anadematus	136	32
Kheper_aegyptiorum	1938	542
Kheper_pustulosus	60	17
Onitis_kingstoni	8	16
Onthophagus_sinuosicollis	73	9
Onthophagus_sp.8	8	10
Onthophagus_producticollis	121	12
Scarabaeus_catenatus	51	16
Scarabaeus_ebenus	18	0
Scarabaeus_gangeticus	45	4
Scarabaeus_tonkeri	44	1
