	cattle	horse	sheep
Geotrupes_spiniger	1	3	1
Typhaeus_typhoeus	0	0	0
Onthophagus_coenobita	0	0	1
Onthophagus_similis	6	4	2
Acrossus_rufipes	17	0	17
Agrilinus_ater	1	0	0
Aphodius_fimetarius	1	0	1
Aphodius_foetens	7	9	7
Bodilopsis_rufa	8	0	17
Chilothorax_distinctus	0	0	0
Melinopterus_consputus	0	0	0
Melinopterus_prodromus	0	0	0
Melinopterus_sphacelatus	0	0	0
Nimbus_contaminatus	0	0	0
Otophorus_haemorrhoidalis	10	0	7
Teuchestes_fossor	4	0	3
Volinus_sticticus	2	10	4
