	cattle	donkey	horse
onthophagus_ovatus/joannae	24	39	34
onthophagus_furcatus	198	777	401
onthophagus_nuchicornis	75	117	69
onthophagus_ruficapillus	52	74	46
onthophagus_taurus	14	18	12
onthophagus_illyricus	51	29	36
onthphagus_taurus&illyricus	65	47	48
euoniticellus_fulvus	1	4	3
geotrupes_spiniger	3	29	6
