	deer	sheep
Nimbus_contaminatus	952	256
Onthophagus_fracticornis	64	46
Volinus_sticticus	0	47
Onthophagus_joannae	27	15
Planolinus_uliginosus	35	0
Onthophagus_similis	18	17
Aphodius_fimetarius	9	7
Trypocopris_pyrenaeus	12	1
Parammoecius_corvinus	11	1
Anoplotrupes_stercorosus	8	3
Sericotrupes_niger	0	7
Trypocopris_vernalis	0	5
Limarus_zenkeri	0	4
Melinopterus_consputus	0	2
Typhaeus_typhoeus	0	2
Euorodalus_coenosus	1	0
Planolinus_borealis	0	1
