	cattle	horse	sheep
Geotrupes_spiniger	3	3	0
Typhaeus_typhoeus	0	0	0
Onthophagus_coenobita	0	0	1
Onthophagus_similis	0	9	7
Acrossus_rufipes	20	9	28
Agrilinus_ater	0	0	0
Aphodius_fimetarius	0	0	0
Aphodius_foetens	2	8	1
Bodilopsis_rufa	18	0	18
Chilothorax_distinctus	0	0	0
Melinopterus_consputus	0	0	1
Melinopterus_prodromus	16	28	45
Melinopterus_sphacelatus	9	31	28
Nimbus_contaminatus	49	211	175
Otophorus_haemorrhoidalis	2	0	6
Teuchestes_fossor	0	0	0
Volinus_sticticus	3	8	3
